listing_id,id,date,reviewer_id,reviewer_name,comments
360863,1124282,2012-04-13,1853183,Anna,"We stayed at  Humberto's apartment for 9 days in April. The apartment is really comfortable, bright and quiet. We never heard neighbors) . Also, we liked the location of apartment. It is very close to the beach, and a 15-minute walk from the historic center of Barcelona. Barcelona city tour buses stop right on the waterfront next to the house.  We've not meet Humberto in person (once we talked on the phone), but throughout our stay, he gave us useful advices about interesting places and good restaurants and bars, and answered on all our questions via SMS or Whatsapp. We like everything  very much! <br/>We would like to thank Humberto - he's a great host!<br/>Anna"
17475,63134,2010-07-10,141807,Zoltan,"Excellent host, beautiful apartment, great location.  Highly recommend."
17475,83802,2010-08-24,68687,John,"Luca is very personable, and the views are exactly as advertised.  For $88 a night, not a bad deal."
17475,98998,2010-09-17,96055,Xiaoyang,"I am glad we found Luca's apt for our stay in Barcelona.  It gave us the convenient access all the tourist attractions while getting a flavor of the lives of the locals--watching saglada familia in the twilight from the terrace in the aroma of the local bakery was one of my favorite moments in Barcelona.  The apt is also very clean and furnished with good taste, centrally located but suprisingly quiet.  Luca, his friends and even the super in the building were all very helpful and accommodating.  I would like to thank them for making our time in Barcelona enjoyable."
17475,105280,2010-09-26,171084,Amy,"I should start by saying we really did not want to leave this apartment. The space is amazing, and the apartment had everything we needed. The two balconies were perfect for enjoying the evenings before going out, and watching sunset/sunrise over Sagrada Familia. Luca made sure everything was in perfect shape when we arrived, and was very responsive when we had some trouble with the internet. It was very rainy in Barcelona, which we did not anticipate, and Luca gave us perfect rainy day suggestions. The apartment is very clean and airy, and quite spacious. The location is perfect, and the bakery downstairs (La Boulangerie) is amazing. Overall, an excellent experience in a beautiful apartment with a great host! Thanks Luca!"
17475,109755,2010-10-02,31238,Mike,"Luca was a very gracious host and took efforts to make sure that our stay at his apartment went well and was comfortable. Though the apartment and some of its amenities may not be in tip top condition (which Luca will tell you), it is a good value because the location, the space and the views more than make up for it. I highly recommend Luca and his apartment."
17475,165392,2011-01-04,287566,Andrew,Fantastic place! Really enjoyed staying here and would definitely stay next time in Barcelona. Highly recommended.
17475,183810,2011-02-17,306891,Amol,"Overall a very good host, good location, and nice place.<br/><br/>I had bad luck I guess -- the Internet company cut off Luca's modem just before I arrived and it was a problem for me. Hard to survive with no Internet.<br/><br/>Otherwise it would have been terrific -- he really has it set up well and it's a very nice building/area."
17475,194380,2011-03-07,401639,B,The host canceled my reservation 15 days before arrival.
17475,260350,2011-05-12,373379,Jack,Luca's flat is in a beautiful and in a charming neighborhood in Barcelona. The views are great and we had a wonderful stay. Luca met us and gave us helpful insight to the city. I would happily stay here again. Jack M.
17475,327472,2011-06-21,693776,Omer,"Lots of space and light, great views. We had the best time!!!"
17475,363097,2011-07-09,760679,Jb,Great flat
17475,365153,2011-07-10,760679,Jb,Great flat
17475,404561,2011-07-29,772710,Lucy,"Fab apartment, in a lovely neighbourhood in Barcelona. Near all vital facilities, and although not central all attractions are in walking distance. The roof terraces and view of Sagrada Familia, especially at night was priceless. Although Luca was unable to meet us the keys were easy to collect and Luca was very prompt in replying to any queries and gave some very useful tips of the local area. A recommended apartment and with a very helpful host! "
17475,502234,2011-09-05,12392,Alexandra,"Summary: The views were stunning, and the apartment was very spacious, but we encountered problem after problem. This was not our first time staying with Airbnb, so we were ready for the apartment to be just that - an apartment, not a hotel. However, as it turned out for us, it would have been better to stay in a hotel. Luca ended up refunding us 40% which we think is fair. The details: There are none of the amenities of a hotel, not even towels that look like they're clean. I believe they were clean, but they were stained, which I found kind of gross. When you arrive, the apartment is all shut down and the bed is unmade; we found sheets hanging in the living room that we had to use to make the bed ourselves. There was a little toilet paper in the bathroom, but we ended up having to buy more for ourselves, as well as toothpaste, and other basic toiletries. The apartment isn't especially clean. I kept finding other people's hair in various places, especially on the couch, which also had some stains. The kitchen counter was stained, and the trash can cover was dirty and unpleasant to have to keep touching to put trash in. All of the above wouldn't really have been a problem, but then real issues started arising. We didn't have hot water to begin with, so Luca, being out of town, had his friend come over to try to help fix it (this friend is not a plumber). The solution his friend came up with was to turn on the radiators while we showered so the hot water would work. Not an ideal situation for August in Spain. Luca did not get us a plumber. Next the internet broke down. The Orange card Luca has for guests in the apartment ran out of charge, so there was no way for us to contact him by phone because he was out of the country. Again, we had to go through his friend, calling from a pay phone down on the street. Luca refilled the card promptly but because of a problem Orange had, we didn't have internet for most of our stay. We realize this wasn't his fault, but it made getting in touch with him about the other issues very difficult. Finally, midway through our stay, the elevator to the building broke, with us in it. We were stuck for a little while but got out. The main problem was that we had to walk up and down the 9 floors to Luca's apartment for the remainder of our stay. The building is old and not especially well kept, and the elevator service man did not come to fix it when he said he would. We ended our stay by dragging our suitcases down 9 flights of stairs. We fully acknowledge that we had bad luck and that not all of this was Luca's fault, but he did not do a..."
17475,538122,2011-09-16,215659,David,The host canceled my reservation 10 days before arrival.
17475,569277,2011-09-26,994674,Arturo,"I absolutely LOVED this apartment!!! I stayed with my mom for the Merce festival. The views are indeed a delight and the location is perfect. I would add that you can see Torre Agbar when it's lit up if you lean out the front window.<br/><br/>Also, I'd recommend bringing a laptop so you can plug in a USB device (actually pretty convenient as you'll have it everywhere) or an unlocked iPad 3G because that's how you get Internet for this. I only brought a smartphone so wasn't able to enjoy it.<br/><br/>Key pickup and drop off was smooth. I really do wish I could have met Luca. In any case, being able to stay at a place such as this only gives me the desire to come back again.<br/><br/>Thank you so much!!! "
17475,749168237706573217,2022-10-30,26134807,Alejandro,"great place, awesome view.  the comms also very good"
17475,857070117573306629,2023-03-28,185643140,Tamara,"The host was very helpful, the place is awesome and has great views…"
17475,867279270614996952,2023-04-11,40808705,Uma,"We had a great stay, very well located flat with an awesome terrace:)"
17475,879527969658387860,2023-04-28,20850604,Claudia,"we would have loved to have stayed here, but unfortunately, the building facade was under construction and between the noise and the dust, it would have made for a not-great trip. luca and his team were incredibly responsive and helpful and i received a full refund."
17475,963578113124904405,2023-08-22,6308552,Marco,"The apartment is in a very good location and has a lovely terrace facing the Sagrada Familia. However, the building is currently undergoing complete renovation. This means that there is a lot of dust on all floors including the apartment. In addition, the renovation team works from 8am to 5pm and the noise is intense - there are days when the hammering seems to be inside the apartment. In a normal situation and with the renovated apartment, I believe it is a great stay, but in the current conditions it was stressful. Luca was very kind and sought solutions with us, he also tried to show the conditions of the apartment before our arrival. However the noise issue was way more than expected. Not sure if we would have stayed there if we knew how bad it was. Would recommend this place if there was no renovation going on."
17475,987522940768099316,2023-09-24,43359003,Pauline,"Nous avons passé un excellent séjour chez Luca. L'appartement était conforme à la description et l'emplacement super. La terrasse est un gros plus, la vue sur la Sagrada Familia est imprenable ! <br/>L'immeuble étant en travaux en ce moment, nous étions parfois réveillées tôt par les ouvriers qui commençaient leur travail, mais l'hôte nous avait prévenu avant notre arrivée, ce n'était donc pas une surprise. Il y a eu quelques petits inconvénients dans l'appartement (Vaisselle pas très bien nettoyée, évacuation de la douche presque bouchée), nous avons fait part de ces commentaires à Luca qui a tout de suite été très reactif sur le sujet.<br/>Luca est un super hôte, très sympathique, disponible et flexible. Malgré notre retard de train conséquent, l'entrée dans l'appartement s'est faite sans soucis.<br/>Nous recommandons cet appartement à qui souhaite visiter Barcelone en profitant d'un appartement confortable et d'un extérieur agréable !"
17475,1007136314239391230,2023-10-21,99531457,Catherine,"The apartment is in a good location with the most fabulous rooftop terrace looking towards La Sagrada Familia. You can almost touch it. It's a twenty minute easy walk down to the city centre by taking the bustling Sant Joan with plenty of cafes and restaurants. (If visiting the Picasso museum, don't forget to book your free Thurs eve tickets online!) The Metro is two minutes away and there are a few multi ticket options at great value. Heading in any direction from the apartment will be endlessly fascinating. The apartment itself is lovely, although I have to be honest and say that the bathroom and kitchen could do with an upgrade. The compensatory factor is the simply spectacular terrace, which is breathtaking. There is currently major road works outside, and builders in the apartment block Monday to Friday, but you will be out and about, so it really is not a problem. ( P.S. The supermarket in the same block, directly behind the apartment, is cheapest for wine at 2 euros a bottle!)"
17475,1010715001609234935,2023-10-26,384232369,Εμμανουήλ,Πολύ ωραίο διαμέρισμα σε κεντρικό σημείο της Βαρκελώνης με εξαιρετική θεα.
17475,1015132993956658803,2023-11-01,2638780,José Luis,"El apartamento es increíble, la terraza es increíble. El apartamento cuenta con todo lo necesario para tu estancia. Luca y su equipo siempre fueron muy atentos y me apoyaron en todo lo que necesite.  Volvería sin pensarlo. Excelente zona, realmente puedes hacer todo caminando. Gracias por todas sus atenciones."
