id,description,language
1.0164493432147236e+18,Break up with your day-to-day life and relax in this oasis of tranquility.,en
31884524.0,"Experience the convenience of a cozy room for one in the vibrant neighborhood of Poblenou, Barcelona. With the best restaurants and bars within walking distance, accessible transportation such as subways and nearby buses, and highlights: the beach is just 15 minutes away. You'll also be close to the city's leading shopping malls and museums. <br />Book your stay with us and experience the charm of Barcelona with the utmost style and comfort. We can't wait to host you!",en
8.93890275442034e+17,"Welcome to our Airbnb rental room, located in the city center, in a peaceful and quiet apartment. <br /><br />This cozy room is a great place to relax and recharge after a busy day exploring the wonders of the city. You'll be warmly welcomed into a thoughtfully furnished space with a cozy bed.",en
7.638835784212755e+17,Relax and unwind at this quiet and stylish home.,en
8.42126611333474e+17,"Apartment 2’ from the Metro 🚇 <br />Blue Line, parking “il coll la teixonera”<br /><br />Apartment is shared only with 1 person👬 <br /><br />Ocean view 🌊 <br /><br />The entire floor is shared, Kitchen, bathroom🛀, work area👩🏻‍💻, living room, dining room <br /><br />No Chekin or Chekout Hours️",en
7.855471703283414e+17,"Enjoy the simplicity of this quiet and central accommodation, where you will feel at home and get to know the best places in Barcelona. You will also enjoy the affection that the furry Morgan, a loving and very respectful dog of your space.",en
1.0370013920071247e+18,A very quiet kitten lives in the house.,en
9.267458438791288e+17,Enjoy the simplicity of this quiet and central accommodation with all amenities.<br />15 minutes from the city's downtown city's downtown.<br />20 mins from the beach.<br />Good public transport communication.<br />Market 2 minutes away.<br />The coolest neighborhood in Barcelona.,en
1.0120276671779132e+18,Your family will be close to everything when you stay at this centrally-located place.,en
8075880.0,"The room is a very quiet  with a big window and looking to a street without traffic. The area is a residential one, close to a very big park called ""El Guinardó"". The flat is 15' walking from Sagrada Familia.<br /><br /> Attention: We do not accept guests without picture and correct profile.",en
20909180.0,"You would find a very comfortable, warm and very cozy room.",en
8.670637458567756e+17,Apartment with excellent location in Barcelona. Single room with double bed and TV,en
