id,description,language
50861575.0,"Want to experience the new Barcelona, where avant-garde design meets sea breezes and sandy beaches? Then this is the co-living apartment for you.",en
51759096.0,Our mission is to empower individuals to immerse themselves in new places by having a home wherever they go. We do this by providing artfully designed fully furnished and serviced apartments for stays of one month or more. We are currently present in some of the most important cities in Europe.,en
7.448062580210331e+17,Our mission is to empower individuals to immerse themselves in new places by having a home wherever they go. We do this by providing artfully designed fully furnished and serviced apartments for stays of one month or more. We are currently present in some of the most important cities in Europe,en
52933728.0,Our mission is to empower individuals to immerse themselves in new places by having a home wherever they go. We do this by providing artfully designed fully furnished and serviced apartments for stays of one month or more. We are currently present in some of the most important cities in Europe.,en
39571615.0,"A sunny, 35m2, 1-bedroom, 1-bathroom studio  right in the city centre. Very close to Pl. Universitat and the trendy Sant Antoni quarter. The area is full of  restaurants, supermarkets and cafés which makes it a very good location from where you can easily acces many parts of the city. All in one open space with a comfortable  layout. Wifi included & washing machine, we provide towels and sheets. Building with elevator.",en
39548516.0,"A sunny, 35m2, 1-bedroom, 1-bathroom studio  right in the city centre. Very close to Pl. Universitat and the trendy Sant Antoni quarter. The area is full of  restaurants, supermarkets and cafés which makes it a very good location from where you can easily acces many parts of the city. All in one open space with a comfortable  layout. All expenses are included up until a  maximum of 50 euros/month/utility. Wifi included & washing machine, we provide towels and sheets. Building with elevator.",en
36824913.0,"A sunny, 35m2, 1-bedroom, 1-bathroom studio  right in the city centre. Very close to Pl. Universitat and the trendy Sant Antoni quarter. The area is full of  restaurants, supermarkets and cafés which makes it a very good location from where you can easily acces many parts of the city. All in one open space with a comfortable  layout.  Wifi included & washing machine, we provide towels and sheets. Building with elevator.",en
6.04823244440152e+17,"Renovated apartment in Les Corts, in front of the Camp Nou and a few minutes from the university area",en
16475404.0,"If you want to feel part of Barcelona, the best thing is to settle in the heart of the city: the Eixample.",en
30223189.0,Your home in the Gothic Quarter. Welcome to the most historic neighborhood in the city.,en
42947434.0,"Fabulous 4 bedroom 1 bathroom apartments in Eixample. Super well located a few steps from the Hospital de Sant Pau, in Travessera de Gracia. very well connected with all points of Barcelona. Equipped kitchen, wifi included. Washing machine and sheets and towels.  Very spacious and comfortable. Metro 2 minutes from Sant Pau / 2 de Maig. Ideal workers or students. Ideal for 4 people without sharing rooms or for 6 people.",en
